species,section,leaf_number,leaf_type,trace_mass_g,tree number,leaf_area_cm2
white oak,2,1,sun,0.2609,NA,34.33277119755351
white oak,2,2,shade,0.9401,NA,122.98428490184321
white oak,2,3,sun,0.7301,NA,95.57436458691264
white oak,2,4,shade,0.975,NA,127.53955261132451
white oak,2,5,sun,0.3733,NA,49.00360473754492
white oak,2,6,shade,0.5293,NA,69.36525982863618
white oak,2,7,sun,0.548,NA,71.80604797096572
white oak,2,8,shade,0.9416,NA,123.18007004694985
white oak,2,9,sun,0.5155,NA,67.56403649365502
white oak,2,10,shade,0.6443,NA,84.37545428681244
white oak,2,11,sun,0.539,NA,70.63133710032584
white oak,2,12,shade,1.031,NA,134.84886469530596
white oak,2,13,sun,0.4649,NA,60.959550932057475
white oak,2,14,shade,0.5371,NA,70.38334258319075
white oak,2,15,sun,0.7228,NA,94.62154354739363
white oak,2,16,shade,0.3671,NA,48.19435947110411
white oak,2,17,sun,0.4923,NA,64.53589291600557
white oak,2,18,shade,0.659,NA,86.29414870885759
white oak,2,19,sun,0.6492,NA,85.01501909416082
white oak,2,20,shade,0.4321,NA,56.67838242572547
white oak,2,21,sun,0.7422,NA,97.15369809077292
white oak,2,22,shade,0.7264,NA,95.09142789564959
white oak,2,23,sun,0.226,NA,29.777503488072195
white oak,2,24,shade,0.5272,NA,69.09116062548688
white oak,2,25,sun,0.7647,NA,100.09047526737264
white oak,2,26,shade,0.6222,NA,81.49088648224118
white oak,2,27,sun,0.4496,NA,58.96254245196968
white oak,2,28,shade,0.9659,NA,126.35178939767752
white oak,2,29,sun,0.4377,NA,57.40931363412361
white oak,2,30,shade,0.6219,NA,81.45172945321985
white oak,2,31,sun,0.4331,NA,56.80890585579657
white oak,2,32,shade,0.9312,NA,121.82262637421043
white oak,2,33,sun,0.3135,NA,41.19830361929326
white oak,2,34,shade,0.4995,NA,65.47566161251747
white oak,2,35,sun,0.4921,NA,64.50978822999134
white oak,2,36,shade,0.2405,NA,31.670093224103113
white oak,2,37,sun,0.4237,NA,55.58198561312825
white oak,2,38,shade,0.887,NA,116.0534907650679
white oak,2,39,sun,0.4542,NA,59.562950230296735
white oak,2,40,shade,0.3029,NA,39.81475526053962
